survived,pclass,sex,age,sibsp,parch,fare,alone,fare_category,embarked_0,embarked_1,embarked_2,who_0,who_1,who_2,deck_0,deck_1,deck_2,deck_3,deck_4,deck_5,deck_6,deck_7
0,2,1,29,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,20,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,46,1,0,61,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,2,1,26,1,2,20,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,1,59,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,71,0,0,34,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,1,23,0,1,63,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,0,34,0,1,23,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,1,34,1,0,26,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,28,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,2,1,30,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,21,0,1,77,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,2,1,33,0,0,8,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,1,37,2,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,28,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0,21,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,2,1,30,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,38,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0,30,1,0,24,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,47,0,0,52,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,2,0,14,1,0,14,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,1,22,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,20,1,0,9,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,2,0,17,0,0,14,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,2,1,21,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,70,0,0,7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,1,1,29,1,0,21,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,24,0,1,247,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,2,0,2,4,2,31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,1,1,21,2,0,73,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,32,1,0,30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,0,32,0,0,13,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,1,54,0,1,77,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1,2,1,12,1,0,11,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,1,30,0,0,7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,2,1,24,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0,30,1,1,22,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,2,1,45,0,0,6,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,33,0,0,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,1,20,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,47,1,0,14,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,1,0,29,1,0,26,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,1,25,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,23,0,0,15,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,19,0,2,26,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,0,1,37,1,0,53,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,2,1,16,0,0,9,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,0,1,24,0,0,79,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,2,0,30,0,2,15,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,0,22,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,2,0,24,1,0,15,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,2,1,19,0,0,6,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,1,1,18,0,0,11,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,19,1,1,36,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,1,27,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,9,2,2,34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,1,1,36,0,2,26,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,42,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,51,0,0,12,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0,0,22,1,0,66,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,1,55,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,40,0,2,14,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,1,30,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,51,0,1,61,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2,0,16,0,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,2,1,30,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,0,0,8,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,1,30,6,2,69,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,2,1,44,0,1,16,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,1,0,40,0,0,15,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,2,1,26,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,17,0,0,8,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,1,1,4,1,39,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,2,1,9,0,2,20,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,0,0,30,0,1,55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,2,0,45,1,4,27,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,1,30,0,0,25,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,2,1,28,0,0,56,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,0,1,61,0,0,33,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,2,1,4,4,1,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,0,1,1,1,11,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,2,1,21,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,56,0,0,30,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,2,1,18,1,1,7,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,3,1,25,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,0,0,50,0,0,28,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,1,30,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,36,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,30,6,2,69,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,1,1,30,0,0,15,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,2,1,9,4,2,31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,1,1,1,2,1,39,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,2,0,4,0,2,22,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,1,30,0,0,50,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,2,0,30,1,0,15,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,0,1,45,0,0,26,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,2,1,40,1,1,15,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,2,1,36,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,0,32,0,0,13,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,1,19,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0,19,1,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,1,3,1,1,26,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,44,0,0,27,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,58,0,0,146,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,2,1,30,0,0,7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,2,1,42,0,1,8,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0,30,0,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,24,0,0,13,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,2,1,28,0,0,9,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,1,30,6,2,69,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,2,1,34,0,0,6,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,45,0,0,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2,1,18,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,2,0,1,10,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,2,1,32,1,0,15,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,2,1,26,0,0,18,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,0,16,0,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0,1,40,0,0,31,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,2,1,24,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,0,35,0,0,21,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,2,1,22,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,30,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,1,0,7,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,31,1,0,113,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,0,27,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,1,42,1,0,27,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0,0,32,0,0,76,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,30,0,0,10,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,1,16,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,27,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,51,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0,1,38,1,0,90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,2,1,22,0,0,9,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,1,1,19,0,0,10,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,20,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,18,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,30,3,1,25,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,0,0,35,1,0,83,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,2,1,29,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,59,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0,5,4,2,31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,1,1,24,0,0,10,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,30,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,1,44,1,0,26,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,0,8,0,2,26,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,1,1,19,0,0,10,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,33,0,0,12,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,30,1,0,14,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2,0,30,1,0,15,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,1,1,29,0,0,10,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,22,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,0,0,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,44,2,0,90,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,2,0,25,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,0,24,0,2,14,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,1,37,1,1,52,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,1,1,54,1,0,26,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,30,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,0,29,1,1,10,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,0,1,62,0,0,26,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,2,1,30,1,0,16,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,0,41,0,2,20,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,2,0,29,0,2,15,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,30,0,0,79,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,30,0,0,86,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,0,0,35,0,0,512,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,1,0,50,0,1,26,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,2,1,30,0,0,7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,2,1,3,4,2,31,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,1,52,1,1,79,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,40,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,2,0,30,0,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,1,36,0,0,10,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,16,4,1,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,2,1,25,1,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0,0,58,0,1,153,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,35,0,0,135,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0,1,30,0,0,31,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,2,1,25,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,0,41,0,1,19,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,1,37,0,1,29,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2,0,30,0,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,63,1,0,77,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
0,2,0,45,0,0,7,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,1,30,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,2,1,7,4,1,29,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,2,0,35,1,1,20,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,2,1,65,0,0,7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,2,1,28,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2,1,16,0,0,9,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,2,1,19,0,0,8,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,30,0,0,26,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,2,1,33,0,0,8,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,1,30,0,0,9,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,2,1,22,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,1,1,42,0,0,13,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,0,22,0,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,26,0,0,78,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,19,1,0,91,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,1,36,0,0,12,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,2,0,24,0,0,8,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,2,1,24,0,0,7,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,30,0,0,27,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,2,1,23,0,0,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,2,1,2,151,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,0,1,30,0,0,30,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,0,0,50,0,1,247,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
